,PS1Current1,PS2Current2,PS1Voltage,PS2Voltage,SystemBoardPwrConsumption,Fan.Embedded.1,Fan.Embedded.2,Fan.Embedded.3,Fan.Embedded.4,Fan.Embedded.5,Fan.Embedded.6,CPU1Temp,CPU2Temp,SystemBoardInletTemp,SystemBoardExhaustTemp,CPU3Temp,CPU4Temp,timestamp,server,model_name,proc_core_speed,proc_l2_cache,proc_l3_cache
71,0.6,0.6,230.0,230.0,260.0,12720.0,12840.0,12960.0,12840.0,12600.0,12720.0,32.0,30.0,20.0,26.0,29.0,31.0,2020-05-06 16:50:32,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
72,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12720.0,12600.0,12720.0,30.0,30.0,20.0,26.0,28.0,30.0,2020-05-06 16:51:03,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
73,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12840.0,12600.0,12600.0,30.0,29.0,20.0,26.0,28.0,29.0,2020-05-06 16:51:35,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
74,0.6,0.8,230.0,230.0,312.0,12720.0,12720.0,12960.0,12840.0,12840.0,12720.0,32.0,32.0,20.0,26.0,30.0,33.0,2020-05-06 16:52:06,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
75,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12840.0,12600.0,12720.0,30.0,30.0,20.0,26.0,28.0,30.0,2020-05-06 16:52:37,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
76,0.6,0.6,230.0,230.0,234.0,12720.0,12840.0,12960.0,12840.0,12600.0,12720.0,30.0,29.0,20.0,26.0,28.0,29.0,2020-05-06 16:53:09,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
77,0.8,0.8,230.0,230.0,364.0,12840.0,12720.0,12960.0,12840.0,13080.0,12720.0,32.0,32.0,20.0,26.0,30.0,33.0,2020-05-06 16:53:40,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
78,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12720.0,12720.0,12840.0,30.0,30.0,20.0,26.0,28.0,29.0,2020-05-06 16:54:12,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
79,0.6,0.6,230.0,230.0,234.0,12840.0,12720.0,12960.0,12840.0,12720.0,12720.0,30.0,29.0,20.0,26.0,28.0,29.0,2020-05-06 16:54:43,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
80,0.8,0.8,230.0,230.0,364.0,12720.0,12720.0,12960.0,12840.0,12960.0,12720.0,32.0,29.0,20.0,26.0,30.0,32.0,2020-05-06 16:55:14,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
81,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12840.0,12720.0,12720.0,30.0,29.0,20.0,26.0,28.0,29.0,2020-05-06 16:55:46,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
82,0.6,0.6,230.0,230.0,234.0,12720.0,12840.0,12960.0,12840.0,12720.0,12720.0,30.0,29.0,20.0,26.0,28.0,29.0,2020-05-06 16:56:17,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
83,0.8,0.8,230.0,230.0,364.0,12720.0,12720.0,12960.0,12840.0,12600.0,12720.0,31.0,31.0,20.0,26.0,29.0,32.0,2020-05-06 16:56:50,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
84,0.6,0.6,230.0,230.0,234.0,12840.0,12720.0,12960.0,12840.0,12720.0,12600.0,30.0,29.0,20.0,26.0,28.0,29.0,2020-05-06 16:57:22,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
85,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12840.0,12600.0,12720.0,30.0,29.0,20.0,26.0,28.0,29.0,2020-05-06 16:57:53,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
86,0.6,0.6,230.0,230.0,364.0,12720.0,12720.0,12960.0,12960.0,12840.0,12720.0,30.0,30.0,20.0,26.0,28.0,32.0,2020-05-06 16:58:26,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
87,0.6,0.6,230.0,230.0,234.0,12840.0,12720.0,12960.0,12720.0,12720.0,12720.0,30.0,29.0,20.0,26.0,28.0,29.0,2020-05-06 16:59:00,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
88,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12840.0,12720.0,12720.0,30.0,29.0,20.0,26.0,28.0,29.0,2020-05-06 16:59:31,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
89,0.6,0.8,228.0,230.0,364.0,12720.0,12840.0,12960.0,12840.0,12600.0,12720.0,31.0,31.0,20.0,26.0,29.0,32.0,2020-05-06 17:00:04,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
90,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12840.0,12720.0,12720.0,30.0,29.0,20.0,26.0,28.0,29.0,2020-05-06 17:00:37,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
91,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12840.0,12720.0,12720.0,30.0,29.0,20.0,26.0,28.0,29.0,2020-05-06 17:01:08,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
92,0.6,0.6,230.0,230.0,364.0,12720.0,12720.0,12960.0,12840.0,12720.0,12720.0,30.0,29.0,20.0,26.0,27.0,31.0,2020-05-06 17:01:41,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
93,0.6,0.6,230.0,230.0,234.0,12720.0,12600.0,12960.0,12840.0,12720.0,12720.0,30.0,29.0,20.0,26.0,28.0,30.0,2020-05-06 17:02:15,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
94,0.6,0.6,230.0,230.0,234.0,12840.0,12720.0,12960.0,12840.0,12720.0,12720.0,30.0,29.0,20.0,26.0,28.0,29.0,2020-05-06 17:02:46,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
95,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12960.0,12600.0,12600.0,30.0,29.0,20.0,26.0,28.0,29.0,2020-05-06 17:03:19,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
96,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12840.0,12600.0,12720.0,30.0,29.0,20.0,26.0,28.0,30.0,2020-05-06 17:03:52,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
97,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12840.0,12720.0,12720.0,30.0,29.0,20.0,26.0,28.0,29.0,2020-05-06 17:04:24,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
98,0.6,0.6,230.0,230.0,234.0,12840.0,12720.0,12960.0,12840.0,12600.0,12600.0,30.0,29.0,20.0,26.0,28.0,29.0,2020-05-06 17:04:57,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
99,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12840.0,12600.0,12720.0,31.0,33.0,20.0,26.0,28.0,30.0,2020-05-06 17:05:29,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
100,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12840.0,12600.0,12600.0,30.0,29.0,20.0,26.0,28.0,30.0,2020-05-06 17:06:01,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
101,0.6,0.6,230.0,230.0,234.0,12600.0,12840.0,12960.0,12960.0,12600.0,12720.0,30.0,29.0,20.0,26.0,28.0,29.0,2020-05-06 17:06:32,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
102,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12960.0,12600.0,12600.0,30.0,29.0,20.0,26.0,28.0,30.0,2020-05-06 17:07:05,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
